VARIABLE NAME	API data type	NAME OF DATA ELEMENT
BBRR3_FED_UGUNK_DLNQ	string	Percentage of undergraduate unknown completion status undergraduate federal student loan borrowers in delinquency after 3 years
BBRR3_FED_UGUNK_FBR	string	Percentage of undergraduate unknown completion status undergraduate federal student loan borrowers in forbearance after 3 years
BBRR3_FED_UGUNK_DFR	string	Percentage of undergraduate unknown completion status undergraduate federal student loan borrowers in deferment after 3 years
BBRR3_FED_UGUNK_NOPROG	string	Percentage of undergraduate unknown completion status undergraduate federal student loan borrowers not making progress after 3 years
BBRR3_FED_UGUNK_MAKEPROG	string	Percentage of undergraduate unknown completion status undergraduate federal student loan borrowers making progress after 3 years
BBRR3_FED_UGUNK_PAIDINFULL	string	Percentage of undergraduate unknown completion status undergraduate federal student loan borrowers paid in full after 3 years
BBRR3_FED_UGUNK_DISCHARGE	string	Percentage of undergraduate unknown completion status undergraduate federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_GR_N	integer	Graduate federal student loan borrower-based 3-year borrower count
BBRR3_FED_GR_DFLT	string	Percentage of graduate federal student loan borrowers in default after 3 years
BBRR3_FED_GR_DLNQ	string	Percentage of graduate federal student loan borrowers in delinquency after 3 years
BBRR3_FED_GR_FBR	string	Percentage of graduate federal student loan borrowers in forbearance after 3 years
BBRR3_FED_GR_DFR	string	Percentage of graduate federal student loan borrowers in deferment after 3 years
BBRR3_FED_GR_NOPROG	string	Percentage of graduate federal student loan borrowers not making progress after 3 years
BBRR3_FED_GR_MAKEPROG	string	Percentage of graduate federal student loan borrowers making progress after 3 years
BBRR3_FED_GR_PAIDINFULL	string	Percentage of graduate federal student loan borrowers paid in full after 3 years
BBRR3_FED_GR_DISCHARGE	string	Percentage of graduate federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_GRCOMP_N	integer	Graduate completer graduate federal student loan borrower-based 3-year borrower count
BBRR3_FED_GRCOMP_DFLT	string	Percentage of graduate completer graduate federal student loan borrowers in default after 3 years
BBRR3_FED_GRCOMP_DLNQ	string	Percentage of graduate completer graduate federal student loan borrowers in delinquency after 3 years
BBRR3_FED_GRCOMP_FBR	string	Percentage of graduate completer graduate federal student loan borrowers in forbearance after 3 years
BBRR3_FED_GRCOMP_DFR	string	Percentage of graduate completer graduate federal student loan borrowers in deferment after 3 years
BBRR3_FED_GRCOMP_NOPROG	string	Percentage of graduate completer graduate federal student loan borrowers not making progress after 3 years
BBRR3_FED_GRCOMP_MAKEPROG	string	Percentage of graduate completer graduate federal student loan borrowers making progress after 3 years
BBRR3_FED_GRCOMP_PAIDINFULL	string	Percentage of graduate completer graduate federal student loan borrowers paid in full after 3 years
BBRR3_FED_GRCOMP_DISCHARGE	string	Percentage of graduate completer graduate federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_GRNOCOMP_N	integer	Graduate non-completer graduate federal student loan borrower-based 3-year borrower count
BBRR3_FED_GRNOCOMP_DFLT	string	Percentage of graduate non-completer graduate federal student loan borrowers in default after 3 years
BBRR3_FED_GRNOCOMP_DLNQ	string	Percentage of graduate non-completer graduate federal student loan borrowers in delinquency after 3 years
BBRR3_FED_GRNOCOMP_FBR	string	Percentage of graduate non-completer graduate federal student loan borrowers in forbearance after 3 years
BBRR3_FED_GRNOCOMP_DFR	string	Percentage of graduate non-completer graduate federal student loan borrowers in deferment after 3 years
BBRR3_FED_GRNOCOMP_NOPROG	string	Percentage of graduate non-completer graduate federal student loan borrowers not making progress after 3 years
BBRR3_FED_GRNOCOMP_MAKEPROG	string	Percentage of graduate non-completer graduate federal student loan borrowers making progress after 3 years
BBRR3_FED_GRNOCOMP_PAIDINFULL	string	Percentage of graduate non-completer graduate federal student loan borrowers paid in full after 3 years
BBRR3_FED_GRNOCOMP_DISCHARGE	string	Percentage of graduate non-completer graduate federal student loan borrowers with all loans discharged after 3 years
BBRR3_PP_UG_N	integer	Undergraduate student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_UG_DFLT	string	Percentage of undergraduate student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_UG_DLNQ	string	Percentage of undergraduate student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_UG_FBR	string	Percentage of undergraduate student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_UG_DFR	string	Percentage of undergraduate student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_UG_NOPROG	string	Percentage of undergraduate student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_UG_MAKEPROG	string	Percentage of undergraduate student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_UG_PAIDINFULL	string	Percentage of undergraduate student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_UG_DISCHARGE	string	Percentage of undergraduate student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_UGCOMP_N	integer	Undergraduate completer undergraduate student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_UGCOMP_DFLT	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_UGCOMP_DLNQ	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_UGCOMP_FBR	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_UGCOMP_DFR	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_UGCOMP_NOPROG	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_UGCOMP_MAKEPROG	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_UGCOMP_PAIDINFULL	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_UGCOMP_DISCHARGE	string	Percentage of undergraduate completer undergraduate student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_UGNOCOMP_N	integer	Undergraduate non-completer undergraduate student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_UGNOCOMP_DFLT	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_UGNOCOMP_DLNQ	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_UGNOCOMP_FBR	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_UGNOCOMP_DFR	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_UGNOCOMP_NOPROG	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_UGNOCOMP_MAKEPROG	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_UGNOCOMP_PAIDINFULL	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_UGNOCOMP_DISCHARGE	string	Percentage of undergraduate non-completer undergraduate student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_UGUNK_N	integer	Undergraduate unknown completion status undergraduate student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_UGUNK_DFLT	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_UGUNK_DLNQ	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_UGUNK_FBR	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_UGUNK_DFR	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_UGUNK_NOPROG	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_UGUNK_MAKEPROG	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_UGUNK_PAIDINFULL	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_UGUNK_DISCHARGE	string	Percentage of undergraduate unknown completion status undergraduate student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_FED_IND_N	integer	Independent federal student loan borrower-based 3-year borrower count
BBRR3_FED_IND_DFLT	string	Percentage of independent federal student loan borrowers in default after 3 years
BBRR3_FED_IND_DLNQ	string	Percentage of independent federal student loan borrowers in delinquency after 3 years
BBRR3_FED_IND_FBR	string	Percentage of independent federal student loan borrowers in forbearance after 3 years
BBRR3_FED_IND_DFR	string	Percentage of independent federal student loan borrowers in deferment after 3 years
BBRR3_FED_IND_NOPROG	string	Percentage of independent federal student loan borrowers not making progress after 3 years
BBRR3_FED_IND_MAKEPROG	string	Percentage of independent federal student loan borrowers making progress after 3 years
BBRR3_FED_IND_PAIDINFULL	string	Percentage of independent federal student loan borrowers paid in full after 3 years
BBRR3_FED_IND_DISCHARGE	string	Percentage of independent federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_DEP_N	integer	Dependent federal student loan borrower-based 3-year borrower count
BBRR3_FED_DEP_DFLT	string	Percentage of dependent federal student loan borrowers in default after 3 years
BBRR3_FED_DEP_DLNQ	string	Percentage of dependent federal student loan borrowers in delinquency after 3 years
BBRR3_FED_DEP_FBR	string	Percentage of dependent federal student loan borrowers in forbearance after 3 years
BBRR3_FED_DEP_DFR	string	Percentage of dependent federal student loan borrowers in deferment after 3 years
BBRR3_FED_DEP_NOPROG	string	Percentage of dependent federal student loan borrowers not making progress after 3 years
BBRR3_FED_DEP_MAKEPROG	string	Percentage of dependent federal student loan borrowers making progress after 3 years
BBRR3_FED_DEP_PAIDINFULL	string	Percentage of dependent federal student loan borrowers paid in full after 3 years
BBRR3_FED_DEP_DISCHARGE	string	Percentage of dependent federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_PELL_N	integer	Pell Grant recipient federal student loan borrower-based 3-year borrower count
BBRR3_FED_PELL_DFLT	string	Percentage of Pell Grant recipient federal student loan borrowers in default after 3 years
BBRR3_FED_PELL_DLNQ	string	Percentage of Pell Grant recipient federal student loan borrowers in delinquency after 3 years
BBRR3_FED_PELL_FBR	string	Percentage of Pell Grant recipient federal student loan borrowers in forbearance after 3 years
BBRR3_FED_PELL_DFR	string	Percentage of Pell Grant recipient federal student loan borrowers in deferment after 3 years
BBRR3_FED_PELL_NOPROG	string	Percentage of Pell Grant recipient federal student loan borrowers not making progress after 3 years
BBRR3_FED_PELL_MAKEPROG	string	Percentage of Pell Grant recipient federal student loan borrowers making progress after 3 years
BBRR3_FED_PELL_PAIDINFULL	string	Percentage of Pell Grant recipient federal student loan borrowers paid in full after 3 years
BBRR3_FED_PELL_DISCHARGE	string	Percentage of Pell Grant recipient federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_NOPELL_N	integer	Non-Pell Grant recipient federal student loan borrower-based 3-year borrower count
BBRR3_FED_NOPELL_DFLT	string	Percentage of non-Pell Grant recipient federal student loan borrowers in default after 3 years
BBRR3_FED_NOPELL_DLNQ	string	Percentage of non-Pell Grant recipient federal student loan borrowers in delinquency after 3 years
BBRR3_FED_NOPELL_FBR	string	Percentage of non-Pell Grant recipient federal student loan borrowers in forbearance after 3 years
BBRR3_FED_NOPELL_DFR	string	Percentage of non-Pell Grant recipient federal student loan borrowers in deferment after 3 years
BBRR3_FED_NOPELL_NOPROG	string	Percentage of non-Pell Grant recipient federal student loan borrowers not making progress after 3 years
BBRR3_FED_NOPELL_MAKEPROG	string	Percentage of non-Pell Grant recipient federal student loan borrowers making progress after 3 years
BBRR3_FED_NOPELL_PAIDINFULL	string	Percentage of non-Pell Grant recipient federal student loan borrowers paid in full after 3 years
BBRR3_FED_NOPELL_DISCHARGE	string	Percentage of non-Pell Grant recipient federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_MALE_N	integer	Male federal student loan borrower-based 3-year borrower count
BBRR3_FED_MALE_DFLT	string	Percentage of male federal student loan borrowers in default after 3 years
BBRR3_FED_MALE_DLNQ	string	Percentage of male federal student loan borrowers in delinquency after 3 years
BBRR3_FED_MALE_FBR	string	Percentage of male federal student loan borrowers in forbearance after 3 years
BBRR3_FED_MALE_DFR	string	Percentage of male federal student loan borrowers in deferment after 3 years
BBRR3_FED_MALE_NOPROG	string	Percentage of male federal student loan borrowers not making progress after 3 years
BBRR3_FED_MALE_MAKEPROG	string	Percentage of male federal student loan borrowers making progress after 3 years
BBRR3_FED_MALE_PAIDINFULL	string	Percentage of male federal student loan borrowers paid in full after 3 years
BBRR3_FED_MALE_DISCHARGE	string	Percentage of male federal student loan borrowers with all loans discharged after 3 years
BBRR3_FED_NOMALE_N	integer	Non-male federal student loan borrower-based 3-year borrower count
BBRR3_FED_NOMALE_DFLT	string	Percentage of non-male federal student loan borrowers in default after 3 years
BBRR3_FED_NOMALE_DLNQ	string	Percentage of non-male federal student loan borrowers in delinquency after 3 years
BBRR3_FED_NOMALE_FBR	string	Percentage of non-male federal student loan borrowers in forbearance after 3 years
BBRR3_FED_NOMALE_DFR	string	Percentage of non-male federal student loan borrowers in deferment after 3 years
BBRR3_FED_NOMALE_NOPROG	string	Percentage of non-male federal student loan borrowers not making progress after 3 years
BBRR3_FED_NOMALE_MAKEPROG	string	Percentage of non-male federal student loan borrowers making progress after 3 years
BBRR3_FED_NOMALE_PAIDINFULL	string	Percentage of non-male federal student loan borrowers paid in full after 3 years
BBRR3_FED_NOMALE_DISCHARGE	string	Percentage of non-male federal student loan borrowers with all loans discharged after 3 years
BBRR3_PP_IND_N	integer	Independent student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_IND_DFLT	string	Percentage of independent student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_IND_DLNQ	string	Percentage of independent student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_IND_FBR	string	Percentage of independent student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_IND_DFR	string	Percentage of independent student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_IND_NOPROG	string	Percentage of independent student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_IND_MAKEPROG	string	Percentage of independent student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_IND_PAIDINFULL	string	Percentage of independent student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_IND_DISCHARGE	string	Percentage of independent student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_DEP_N	integer	Dependent student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_DEP_DFLT	string	Percentage of dependent student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_DEP_DLNQ	string	Percentage of dependent student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_DEP_FBR	string	Percentage of dependent student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_DEP_DFR	string	Percentage of dependent student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_DEP_NOPROG	string	Percentage of dependent student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_DEP_MAKEPROG	string	Percentage of dependent student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_DEP_PAIDINFULL	string	Percentage of dependent student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_DEP_DISCHARGE	string	Percentage of dependent student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_PELL_N	integer	Pell Grant recipient student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_PELL_DFLT	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_PELL_DLNQ	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_PELL_FBR	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_PELL_DFR	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_PELL_NOPROG	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_PELL_MAKEPROG	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_PELL_PAIDINFULL	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_PELL_DISCHARGE	string	Percentage of Pell Grant recipient student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_NOPELL_N	integer	Non-Pell Grant recipient student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_NOPELL_DFLT	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_NOPELL_DLNQ	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_NOPELL_FBR	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_NOPELL_DFR	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_NOPELL_NOPROG	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_NOPELL_MAKEPROG	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_NOPELL_PAIDINFULL	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_NOPELL_DISCHARGE	string	Percentage of non-Pell Grant recipient student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_MALE_N	integer	Male student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_MALE_DFLT	string	Percentage of male student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_MALE_DLNQ	string	Percentage of male student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_MALE_FBR	string	Percentage of male student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_MALE_DFR	string	Percentage of male student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_MALE_NOPROG	string	Percentage of male student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_MALE_MAKEPROG	string	Percentage of male student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_MALE_PAIDINFULL	string	Percentage of male student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_MALE_DISCHARGE	string	Percentage of male student Parent PLUS Loan borrowers with all loans discharged after 3 years
BBRR3_PP_NOMALE_N	integer	Non-male student Parent PLUS Loan borrower-based 3-year borrower count
BBRR3_PP_NOMALE_DFLT	string	Percentage of non-male student Parent PLUS Loan borrowers in default after 3 years
BBRR3_PP_NOMALE_DLNQ	string	Percentage of non-male student Parent PLUS Loan borrowers in delinquency after 3 years
BBRR3_PP_NOMALE_FBR	string	Percentage of non-male student Parent PLUS Loan borrowers in forbearance after 3 years
BBRR3_PP_NOMALE_DFR	string	Percentage of non-male student Parent PLUS Loan borrowers in deferment after 3 years
BBRR3_PP_NOMALE_NOPROG	string	Percentage of non-male student Parent PLUS Loan borrowers not making progress after 3 years
BBRR3_PP_NOMALE_MAKEPROG	string	Percentage of non-male student Parent PLUS Loan borrowers making progress after 3 years
BBRR3_PP_NOMALE_PAIDINFULL	string	Percentage of non-male student Parent PLUS Loan borrowers paid in full after 3 years
BBRR3_PP_NOMALE_DISCHARGE	string	Percentage of non-male student Parent PLUS Loan borrowers with all loans discharged after 3 years
COUNT_NWNE_1YR	integer	Number of graduates working and not enrolled 1 year after completing
COUNT_WNE_1YR	integer	Number of graduates not working and not enrolled 1 year after completing
CNTOVER150_1YR	integer	Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 1 year after completing
GT_THRESHOLD_P6	float	Share of students earning more than a high school graduate (threshold earnings) 6 years after entry
GT_THRESHOLD_P6_SUPP	float	Share of students earning more than a high school graduate (threshold earnings) 6 years after entry, suppressed for small n size
MD_EARN_WNE_INC1_P6	integer	Median earnings of students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000
MD_EARN_WNE_INC2_P6	integer	Median earnings of students working and not enrolled 6 years after entry in the middle income tercile $30,001-$75,000
MD_EARN_WNE_INC3_P6	integer	Median earnings of students working and not enrolled 6 years after entry in the highest income tercile $75,001+
MD_EARN_WNE_INDEP1_P6	integer	Median earnings of independent students working and not enrolled 6 years after entry
MD_EARN_WNE_INDEP0_P6	integer	Median earnings of dependent students working and not enrolled 6 years after entry
MD_EARN_WNE_MALE0_P6	integer	Median earnings of non-male students working and not enrolled 6 years after entry
MD_EARN_WNE_MALE1_P6	integer	Median earnings of male students working and not enrolled 6 years after entry
GT_THRESHOLD_P8	float	Share of students earning more than a high school graduate (threshold earnings) 8 years after entry
COUNT_WNE_INC1_P8	integer	Number of students working and not enrolled 8 years after entry in the lowest income tercile $0-$30,000
MD_EARN_WNE_INC1_P8	integer	Median earnings of students working and not enrolled 8 years after entry in the lowest income tercile $0-$30,000
COUNT_WNE_INC2_P8	integer	Number of students working and not enrolled 8 years after entry in the middle income tercile $30,001-$75,000
MD_EARN_WNE_INC2_P8	integer	Median earnings of students working and not enrolled 8 years after entry in the middle income tercile $30,001-$75,000
COUNT_WNE_INC3_P8	integer	Number of students working and not enrolled 8 years after entry in the highest income tercile $75,001+
MD_EARN_WNE_INC3_P8	integer	Median earnings of students working and not enrolled 8 years after entry in the highest income tercile $75,001+
COUNT_WNE_INDEP1_P8	integer	Number of independent students working and not enrolled 8 years after entry
MD_EARN_WNE_INDEP1_P8	integer	Median earnings of independent students working and not enrolled 8 years after entry
COUNT_WNE_INDEP0_P8	integer	Number of dependent students working and not enrolled 8 years after entry
MD_EARN_WNE_INDEP0_P8	integer	Median earnings of dependent students working and not enrolled 8 years after entry
COUNT_WNE_MALE0_P8	integer	Number of non-male students working and not enrolled 8 years after entry
MD_EARN_WNE_MALE0_P8	integer	Median earnings of non-male students working and not enrolled 8 years after entry
COUNT_WNE_MALE1_P8	integer	Number of male students working and not enrolled 8 years after entry
MD_EARN_WNE_MALE1_P8	integer	Median earnings of male students working and not enrolled 8 years after entry
GT_THRESHOLD_P10	float	Share of students earning more than a high school graduate (threshold earnings) 10 years after entry
MD_EARN_WNE_INC1_P10	integer	Median earnings of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000
MD_EARN_WNE_INC2_P10	integer	Median earnings of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000
MD_EARN_WNE_INC3_P10	integer	Median earnings of students working and not enrolled 10 years after entry in the highest income tercile $75,001+
MD_EARN_WNE_INDEP1_P10	integer	Median earnings of independent students working and not enrolled 10 years after entry
MD_EARN_WNE_INDEP0_P10	integer	Median earnings of dependent students working and not enrolled 10 years after entry
MD_EARN_WNE_MALE0_P10	integer	Median earnings of non-male students working and not enrolled 10 years after entry
MD_EARN_WNE_MALE1_P10	integer	Median earnings of male students working and not enrolled 10 years after entry
STUFACR	float	Undergraduate student to instructional faculty ratio
IRPS_2MOR	float	Share of full time faculty that are Two or More Races
IRPS_AIAN	float	Share of full time faculty that are American Indian or Alaskan Native
IRPS_ASIAN	float	Share of full time faculty that are Asian
IRPS_BLACK	float	Share of full time faculty that are Black or African American
IRPS_HISP	float	Share of full time faculty that are Hispanic
IRPS_NHPI	float	Share of full time faculty that are Native Hawaiian or Other Pacific Islander
IRPS_NRA	float	Share of full time faculty that are U.S. Nonresidents
IRPS_UNKN	float	Share of full time faculty that are of unknown race/ethnicity
IRPS_WHITE	float	Share of full time faculty that are White
IRPS_WOMEN	float	Share of full time faculty that are men
IRPS_MEN	float	Share of full time faculty that are women
MD_EARN_WNE_1YR	integer	Median earnings of graduates working and not enrolled 1 year after completing
GT_THRESHOLD_1YR	integer	Number of graduates working and not enrolled who earned more than a high school graduate 1 year after completing
COUNT_NWNE_4YR	integer	Number of graduates not working and not enrolled 4 years after completing
COUNT_WNE_4YR	integer	Number of graduates working and not enrolled 4 years after completing
MD_EARN_WNE_4YR	integer	Median earnings of graduates working and not enrolled 4 years after completing
GT_THRESHOLD_4YR	integer	Number of graduates working and not enrolled who earned more than a high school graduate 4 years after completing
BBRR4_FED_UG_N	integer	Undergraduate federal student loan borrower-based 4-year borrower count
BBRR4_FED_UG_DFLT	string	Percentage of undergraduate federal student loan borrowers in default after 4 years
BBRR4_FED_UG_DLNQ	string	Percentage of undergraduate federal student loan borrowers in delinquency after 4 years
BBRR4_FED_UG_FBR	string	Percentage of undergraduate federal student loan borrowers in forbearance after 4 years
BBRR4_FED_UG_DFR	string	Percentage of undergraduate federal student loan borrowers in deferment after 4 years
BBRR4_FED_UG_NOPROG	string	Percentage of undergraduate federal student loan borrowers not making progress after 4 years
BBRR4_FED_UG_MAKEPROG	string	Percentage of undergraduate federal student loan borrowers making progress after 4 years
BBRR4_FED_UG_PAIDINFULL	string	Percentage of undergraduate federal student loan borrowers paid in full after 4 years
BBRR4_FED_UG_DISCHARGE	string	Percentage of undergraduate federal student loan borrowers with all loans discharged after 4 years
BBRR4_FED_UGCOMP_N	integer	Undergraduate completer undergraduate federal student loan borrower-based 4-year borrower count
BBRR4_FED_UGCOMP_DFLT	string	Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 4 years
BBRR4_FED_UGCOMP_DLNQ	string	Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 4 years
BBRR4_FED_UGCOMP_FBR	string	Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 4 years
BBRR4_FED_UGCOMP_DFR	string	Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 4 years
BBRR4_FED_UGCOMP_NOPROG	string	Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 4 years
BBRR4_FED_UGCOMP_MAKEPROG	string	Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 4 years
BBRR4_FED_UGCOMP_PAIDINFULL	string	Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 4 years
BBRR4_FED_UGCOMP_DISCHARGE	string	Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 4 years
BBRR4_FED_UGNOCOMP_N	integer	Undergraduate non-completer undergraduate federal student loan borrower-based 4-year borrower count
BBRR4_FED_UGNOCOMP_DFLT	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers in default after 4 years
BBRR4_FED_UGNOCOMP_DLNQ	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers in delinquency after 4 years
BBRR4_FED_UGNOCOMP_FBR	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers in forbearance after 4 years
BBRR4_FED_UGNOCOMP_DFR	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers in deferment after 4 years
BBRR4_FED_UGNOCOMP_NOPROG	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers not making progress after 4 years
BBRR4_FED_UGNOCOMP_MAKEPROG	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers making progress after 4 years
BBRR4_FED_UGNOCOMP_PAIDINFULL	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers paid in full after 4 years
BBRR4_FED_UGNOCOMP_DISCHARGE	string	Percentage of undergraduate non-completer undergraduate federal student loan borrowers with all loans discharged after 4 years
BBRR4_FED_UGUNK_N	integer	Undergraduate unknown completion status undergraduate federal student loan borrower-based 4-year borrower count
